epoch,accuracy,loss,val_accuracy,val_loss
0,0.5218750238418579,1.8525762557983398,0.5903614163398743,0.6818423867225647
1,0.5893750190734863,0.6635435223579407,0.5682730674743652,0.7193191647529602
2,0.6449999809265137,0.6322757601737976,0.6425702571868896,0.637537956237793
3,0.7450000047683716,0.5275167226791382,0.6755020022392273,0.6201516389846802
4,0.8231250047683716,0.4057692587375641,0.6799196600914001,0.6459072828292847
5,0.8931249976158142,0.2632431983947754,0.6642570495605469,0.7405035495758057
6,0.9375,0.18412011861801147,0.649397611618042,0.931522011756897
7,0.9606249928474426,0.11505383253097534,0.6578313112258911,0.9782945513725281
8,0.981249988079071,0.07616832107305527,0.6566265225410461,1.2255536317825317
9,0.9887499809265137,0.05555419623851776,0.6562249064445496,1.3112475872039795
10,0.9900000095367432,0.03578079491853714,0.6650602221488953,1.179767370223999
11,0.9950000047683716,0.027111709117889404,0.6614457964897156,1.1828035116195679
12,0.9962499737739563,0.02041272073984146,0.6638554334640503,1.2498334646224976
13,0.996874988079071,0.016880355775356293,0.6638554334640503,1.265795350074768
14,0.9981250166893005,0.01546395942568779,0.662248969078064,1.3284735679626465
15,0.9981250166893005,0.012867007404565811,0.661044180393219,1.3355135917663574
16,0.9993749856948853,0.012457311153411865,0.6690763235092163,1.3225276470184326
17,0.9981250166893005,0.0131845036521554,0.6626505851745605,1.316510796546936
18,0.9993749856948853,0.010212302207946777,0.6678714752197266,1.3322868347167969
19,0.9987499713897705,0.01041929516941309,0.6650602221488953,1.3470886945724487
20,0.9993749856948853,0.008891357108950615,0.666265070438385,1.3634107112884521
21,0.9975000023841858,0.010786392726004124,0.666265070438385,1.3581286668777466
22,0.9987499713897705,0.009550039656460285,0.6666666865348816,1.3624697923660278
23,1.0,0.007779713254421949,0.6666666865348816,1.369419813156128
24,0.9981250166893005,0.009616024792194366,0.6658634543418884,1.3737363815307617
