epoch,accuracy,loss,val_accuracy,val_loss
0,0.6106500029563904,0.7027683258056641,0.6979919672012329,0.5788167715072632
1,0.6947000026702881,0.5856180787086487,0.7566264867782593,0.5182009339332581
2,0.7279000282287598,0.5388393998146057,0.7594377398490906,0.4996424615383148
3,0.7557500004768372,0.503485918045044,0.7714859247207642,0.489122211933136
4,0.7705000042915344,0.47856318950653076,0.7839357256889343,0.4579094648361206
5,0.7858499884605408,0.45570844411849976,0.7923694849014282,0.45181363821029663
6,0.7953000068664551,0.4492003321647644,0.7955823540687561,0.4482414126396179
7,0.8043500185012817,0.43281060457229614,0.8044176697731018,0.4503410756587982
8,0.8011000156402588,0.4292541444301605,0.8172690868377686,0.4227769076824188
9,0.8093000054359436,0.4148336946964264,0.8084337115287781,0.42830169200897217
10,0.8148000240325928,0.40885403752326965,0.8032128810882568,0.4345551133155823
11,0.8155500292778015,0.41036567091941833,0.8240963816642761,0.40527716279029846
